latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
20.29433,-105.50802,302.97,1.17,1.08,2025-03-25,0408,T,47,6.1NRT,289.51,5.84,N
20.3122,-105.45441,311.97,1.17,1.07,2025-03-25,0408,T,45,6.1NRT,292.22,12.28,N
20.31049,-105.46568,322.16,1.17,1.08,2025-03-25,0408,T,100,6.1NRT,293.26,23.69,N
20.5779,-103.71316,324.82,1.01,1.01,2025-03-25,0408,T,100,6.1NRT,285.11,24.79,N
20.57655,-103.72256,332.57,1.01,1.01,2025-03-25,0408,T,100,6.1NRT,287.03,34.6,N
20.72577,-103.65298,305.69,1.01,1,2025-03-25,0408,T,65,6.1NRT,284.41,9.01,N
20.77414,-103.95813,312.23,1.02,1.01,2025-03-25,0408,T,84,6.1NRT,287.2,13.32,N
20.8064,-105.46912,310.21,1.15,1.07,2025-03-25,0408,T,79,6.1NRT,288.32,13.16,N
21.26088,-104.54324,309.15,1.05,1.02,2025-03-25,0408,T,77,6.1NRT,282.54,11.85,N
21.26984,-104.54487,301.05,1.05,1.02,2025-03-25,0408,T,9,6.1NRT,281.22,6.01,N
21.75301,-104.20906,315.06,1.02,1.01,2025-03-25,0408,T,90,6.1NRT,286.79,16.26,N
22.74088,-105.08807,304.63,1.06,1.03,2025-03-25,0408,T,61,6.1NRT,279.5,9.83,N
24.30863,-106.26201,307.61,1.14,1.06,2025-03-25,0408,T,63,6.1NRT,271.66,12.65,N
24.30682,-106.27361,307.38,1.14,1.07,2025-03-25,0408,T,71,6.1NRT,273.75,12.8,N
26.31477,-107.9882,304.44,1.31,1.14,2025-03-25,0408,T,60,6.1NRT,287.55,11.04,N
26.31253,-108.00151,319.66,1.32,1.14,2025-03-25,0408,T,99,6.1NRT,288.61,28.35,N
26.42875,-107.85955,328.8,1.29,1.13,2025-03-25,0408,T,100,6.1NRT,289.32,41.19,N
26.4385,-107.862,340.51,1.29,1.13,2025-03-25,0408,T,100,6.1NRT,290.88,66.6,N
26.43626,-107.87544,309.74,1.29,1.13,2025-03-25,0408,T,78,6.1NRT,288.02,15.56,N
27.38921,-107.14581,312.26,1.15,1.07,2025-03-25,0410,T,84,6.1NRT,276.84,17.85,N
27.84552,-108.44273,307.8,1.32,1.14,2025-03-25,0410,T,15,6.1NRT,275.97,14.68,N
30.13208,-108.45568,318.53,1.22,1.1,2025-03-25,0410,T,97,6.1NRT,285.9,25.83,N
30.12998,-108.4683,305.96,1.22,1.1,2025-03-25,0410,T,66,6.1NRT,282.75,12.79,N
30.173,-108.3876,305.62,1.21,1.09,2025-03-25,0410,T,65,6.1NRT,282.57,12.64,N
30.17109,-108.39924,306.75,1.21,1.09,2025-03-25,0410,T,69,6.1NRT,283.52,13.47,N
30.49812,-109.63501,305.64,1.39,1.17,2025-03-25,0412,T,65,6.1NRT,285.12,15.21,N
32.41342,-101.63684,305.51,1.38,1.16,2025-03-25,0412,T,65,6.1NRT,284.76,15.82,N
32.89441,-113.48934,304.05,2.19,1.43,2025-03-25,0412,T,58,6.1NRT,290.61,22.04,N
35.35867,-95.89764,301.61,3.55,1.77,2025-03-25,0412,T,43,6.1NRT,283.61,42.58,N
42.97471,-98.04369,302.57,3.06,1.66,2025-03-25,0414,T,50,6.1NRT,273.2,52.96,N
22.13376,-78.65858,304.27,1.09,1.04,2025-03-25,0809,A,59,6.1NRT,291.33,6.39,N
20.46114,-76.09785,314.78,1.62,1.25,2025-03-25,0809,A,90,6.1NRT,290.34,27.31,N
32.41581,-101.63659,301.93,1.02,1.01,2025-03-25,0947,A,45,6.1NRT,272.36,9.23,N
